Model,Accuracy,Balanced_Acc,Precision,Recall,F1,MCC,ROC_AUC,PR_AUC,Kappa,Specificity
Stacking,0.8802 +/- 0.0094,0.8651 +/- 0.0134,0.7945 +/- 0.0123,0.8651 +/- 0.0134,0.8209 +/- 0.0116,0.6556 +/- 0.0216,0.9469 +/- 0.0055,0.9873 +/- 0.0017,0.6439 +/- 0.0227,0.8413 +/- 0.0321
ExtraTrees,0.9112 +/- 0.0069,0.8372 +/- 0.0203,0.8567 +/- 0.0123,0.8372 +/- 0.0203,0.8459 +/- 0.0137,0.6933 +/- 0.0263,0.9458 +/- 0.0058,0.9868 +/- 0.0019,0.6920 +/- 0.0272,0.7211 +/- 0.0444
RandomForest,0.8996 +/- 0.0071,0.8443 +/- 0.0152,0.8280 +/- 0.0146,0.8443 +/- 0.0152,0.8350 +/- 0.0100,0.6718 +/- 0.0195,0.9452 +/- 0.0051,0.9869 +/- 0.0016,0.6703 +/- 0.0199,0.7576 +/- 0.0389
LightGBM,0.8982 +/- 0.0080,0.8381 +/- 0.0175,0.8264 +/- 0.0151,0.8381 +/- 0.0175,0.8315 +/- 0.0128,0.6641 +/- 0.0261,0.9419 +/- 0.0059,0.9860 +/- 0.0017,0.6632 +/- 0.0257,0.7438 +/- 0.0394
XGBoost,0.8957 +/- 0.0065,0.7288 +/- 0.0198,0.9049 +/- 0.0159,0.7288 +/- 0.0198,0.7785 +/- 0.0189,0.6081 +/- 0.0286,0.9411 +/- 0.0061,0.9859 +/- 0.0017,0.5645 +/- 0.0357,0.4674 +/- 0.0415
GradientBoosting,0.9004 +/- 0.0086,0.7699 +/- 0.0232,0.8708 +/- 0.0182,0.7699 +/- 0.0232,0.8064 +/- 0.0201,0.6322 +/- 0.0356,0.9315 +/- 0.0076,0.9828 +/- 0.0022,0.6155 +/- 0.0392,0.5654 +/- 0.0482
SVM,0.8923 +/- 0.0087,0.7977 +/- 0.0161,0.8259 +/- 0.0179,0.7977 +/- 0.0161,0.8104 +/- 0.0152,0.6229 +/- 0.0304,0.9182 +/- 0.0052,0.9790 +/- 0.0021,0.6211 +/- 0.0303,0.6495 +/- 0.0318
MLP,0.8921 +/- 0.0067,0.7984 +/- 0.0152,0.8255 +/- 0.0151,0.7984 +/- 0.0152,0.8103 +/- 0.0116,0.6230 +/- 0.0226,0.9169 +/- 0.0080,0.9778 +/- 0.0040,0.6210 +/- 0.0230,0.6516 +/- 0.0346
KNN,0.8966 +/- 0.0087,0.7444 +/- 0.0227,0.8843 +/- 0.0175,0.7444 +/- 0.0227,0.7889 +/- 0.0217,0.6125 +/- 0.0371,0.9107 +/- 0.0115,0.9701 +/- 0.0053,0.5829 +/- 0.0419,0.5059 +/- 0.0459
AdaBoost,0.8799 +/- 0.0096,0.6833 +/- 0.0230,0.8918 +/- 0.0234,0.6833 +/- 0.0230,0.7303 +/- 0.0271,0.5354 +/- 0.0458,0.7782 +/- 0.0183,0.9187 +/- 0.0058,0.4742 +/- 0.0508,0.3753 +/- 0.0447
