Model,R2,RMSE,MAE,Spearman,Pearson
Stacking,0.8756 +/- 0.0106,0.5874 +/- 0.0218,0.3891 +/- 0.0090,0.9135 +/- 0.0084,0.9359 +/- 0.0055
LightGBM,0.8728 +/- 0.0116,0.5939 +/- 0.0245,0.3905 +/- 0.0101,0.9116 +/- 0.0092,0.9344 +/- 0.0061
XGBoost,0.8712 +/- 0.0101,0.5980 +/- 0.0224,0.4030 +/- 0.0096,0.9108 +/- 0.0077,0.9340 +/- 0.0055
GradientBoosting,0.8659 +/- 0.0112,0.6098 +/- 0.0185,0.4058 +/- 0.0082,0.9061 +/- 0.0082,0.9308 +/- 0.0058
ExtraTrees,0.8636 +/- 0.0083,0.6155 +/- 0.0187,0.4181 +/- 0.0108,0.9089 +/- 0.0069,0.9306 +/- 0.0045
RandomForest,0.8630 +/- 0.0081,0.6169 +/- 0.0208,0.4149 +/- 0.0096,0.9049 +/- 0.0063,0.9298 +/- 0.0043
Ridge,0.8268 +/- 0.0117,0.6935 +/- 0.0198,0.4932 +/- 0.0133,0.8812 +/- 0.0115,0.9095 +/- 0.0064
KNN,0.8251 +/- 0.0117,0.6969 +/- 0.0251,0.4586 +/- 0.0141,0.8842 +/- 0.0073,0.9116 +/- 0.0066
SVR,0.7919 +/- 0.0150,0.7601 +/- 0.0270,0.5228 +/- 0.0181,0.8759 +/- 0.0107,0.8914 +/- 0.0085
MLP,0.7506 +/- 0.0493,0.8284 +/- 0.0727,0.5769 +/- 0.0494,0.8695 +/- 0.0160,0.8836 +/- 0.0193
